OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CAN_FHC_FO..INL,CAN,FHC,FO,INL,CAN_FHC_FO..INL = CAN_FH_FO*CAN_FHC_QP..INL/(CAN_FH_QP-CAN_FH_CR-CAN_FH_OU),Scalar TS,Numeric,20.54733346,21.08284957,24.48990216,24.02200991,23.52913228,22.29340422,24.29940777,24.30648051,36.63886845,24.431722,25.11668443,25.07464088,25.4891001,25.90920399,26.23911809,26.34703859,26.62133877,26.96814346,28.88719381,30.87625412,32.75313167
CAN_FHC_FO..MAR,CAN,FHC,FO,MAR,"CAN_FHC_FO..MAR = CAN_FH_FO*(CAN_FHC_QP..MAR-CAN_FH_CR-CAN_FH_OU)/(CAN_FH_
QP-CAN_FH_CR-CAN_FH_OU)",Scalar TS,Numeric,631.8453433,639.6438463,607.2743744,669.7701161,676.345767,621.8468682,638.6906064,633.0262027,631.635616,639.5871713,645.4814237,644.261385,655.5162234,666.5062026,674.9923699,677.5021414,683.7931669,692.713102,701.5013462,710.7708044,716.2747222
CHE_FHA_FO..INL,CHE,FHA,FO,INL,CHE_FHA_FO..INL = CHE_FH_FO*EUR_FHA_QP..INL/(EUR_FH_QP-EUR_FH_CR-EUR_FH_OU),Scalar TS,Numeric,4.633962619,4.479307491,4.363374047,4.617400946,4.443166219,4.549174452,5.029689092,4.784893945,4.659782001,4.826263577,4.798649376,4.96328037,5.029898157,5.112625045,5.214341945,5.335860032,5.405787979,5.44669547,5.474690243,5.50108954,5.52334121
CHE_FHA_FO..MAR,CHE,FHA,FO,MAR,CHE_FHA_FO..MAR = CHE_FH_FO*EUR_FHA_QP..MAR/(EUR_FH_QP-EUR_FH_CR-EUR_FH_OU),Scalar TS,Numeric,21.25160754,23.14596596,23.22121273,23.74284431,23.73181071,24.9568572,25.31058047,24.20939097,24.55027703,24.81542507,24.79065296,25.06345404,25.1769465,25.15704384,25.43781701,25.34613084,25.63806325,25.92746006,26.16986919,26.25103448,26.36692535
CHE_FHC_FO..INL,CHE,FHC,FO,INL,CHE_FHC_FO..INL = CHE_FH_FO*EUR_FHC_QP..INL/(EUR_FH_QP-EUR_FH_CR-EUR_FH_OU),Scalar TS,Numeric,3.944763096,3.973377658,3.750071646,4.451565758,3.883908788,4.800295701,4.47416228,3.933217801,3.968797353,4.384826865,4.383940121,4.365051763,4.348825284,4.331127362,4.309519317,4.301719873,4.281648315,4.264036002,4.512413301,4.766862806,5.018542689
CHE_FHC_FO..MAR,CHE,FHC,FO,MAR,"CHE_FHC_FO..MAR = CHE_FH_FO*(EUR_FHC_QP..MAR-EUR_FH_CR-EUR_FH_OU)/(EUR_FH_
QP-EUR_FH_CR-EUR_FH_OU)",Scalar TS,Numeric,112.025828,111.2165667,104.6854902,111.4906168,107.0180449,109.2033251,113.0192842,110.7293795,111.5619509,109.4530052,109.5477942,109.1535045,109.0139069,108.9931291,108.6581161,108.6630586,108.3489082,108.064866,107.5757438,107.2445346,106.8865174
CHL_FHA_FO..INL,CHL,FHA,FO,INL,CHL_FHA_FO..INL = CHL_FH_FO*CHL_FHA_QP..INL/(CHL_FH_QP-CHL_FH_CR-CHL_FH_OU),Scalar TS,Numeric,7.817372967,7.884198939,9.470470235,6.745057191,9.734222931,0.096856505,0.135337739,0.454337104,0.128821778,0,0,0,0,0,0,0,0,0,0,0,0
CHL_FHA_FO..MAR,CHL,FHA,FO,MAR,CHL_FHA_FO..MAR = CHL_FH_FO*CHL_FHA_QP..MAR/(CHL_FH_QP-CHL_FH_CR-CHL_FH_OU),Scalar TS,Numeric,143.4888617,174.8255051,160.9876528,150.3283642,163.1008521,156.2172858,155.8879762,175.3465482,186.4044567,190.7876745,182.2638238,188.7300345,185.0085896,185.7763988,184.3245741,183.1484424,190.7630468,183.1774223,182.9636631,182.6618697,183.7232951
CHL_FHC_FO..INL,CHL,FHC,FO,INL,CHL_FHC_FO..INL = CHL_FH_FO*CHL_FHC_QP..INL/(CHL_FH_QP-CHL_FH_CR-CHL_FH_OU),Scalar TS,Numeric,0,0,0,0,0,0,0,5.11E-05,0,0,0,0,0,0,0,0,0,0,0.496949877,0.992210354,1.464109263
CHL_FHC_FO..MAR,CHL,FHC,FO,MAR,"CHL_FHC_FO..MAR = CHL_FH_FO*(CHL_FHC_QP..MAR-CHL_FH_CR-CHL_FH_OU)/(CHL_FH_
QP-CHL_FH_CR-CHL_FH_OU)",Scalar TS,Numeric,90.13421839,69.50792886,61.77818817,71.94069162,66.86040238,60.17559367,61.65455318,45.78922883,51.95804334,47.59852884,61.12074274,54.05225865,61.32111152,63.22542234,66.80643013,70.39189283,64.60034705,75.25693054,78.11249791,80.91184621,82.19315589
