"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"glossanodon semifasciatus","deep-sea smelt","glossanodon","Demersal Fish","argentinidae","osmeriformes","import","Marine areas","Iron",0.4
"harpadon nehereus","bombay-duck","harpadon","Demersal Fish","synodontidae","aulopiformes","import","Marine areas","Iron",0.188282941176471
"hoplostethus atlanticus","orange roughy","hoplostethus","Demersal Fish","trachichthyidae","beryciformes","import","Marine areas","Iron",1.63666666666667
"larimichthys polyactis","yellow croaker","larimichthys","Demersal Fish","sciaenidae","perciformes","import","Marine areas","Iron",5.95
"lateolabrax japonicus","japanese seabass","lateolabrax","Demersal Fish","lateolabracidae","perciformes","import","Marine areas","Iron",0.95675
"lethrinus harak","thumbprint emperor","lethrinus","Demersal Fish","lethrinidae","perciformes","import","Marine areas","Iron",7.4645
"lethrinus lentjan","pink ear emperor","lethrinus","Demersal Fish","lethrinidae","perciformes","import","Marine areas","Iron",1.57609333333333
"lethrinus nebulosus","spangled emperor","lethrinus","Demersal Fish","lethrinidae","perciformes","import","Marine areas","Iron",0.45
"lutjanus argentimaculatus","mangrove red snapper","lutjanus","Demersal Fish","lutjanidae","perciformes","import","Marine areas","Iron",0.650195
"lutjanus bohar","two-spot red snapper","lutjanus","Demersal Fish","lutjanidae","perciformes","import","Marine areas","Iron",0.205
"lutjanus johnii","john's snapper","lutjanus","Demersal Fish","lutjanidae","perciformes","import","Marine areas","Iron",0.35174
"lutjanus quinquelineatus","five-lined snapper","lutjanus","Demersal Fish","lutjanidae","perciformes","import","Marine areas","Iron",0.00031
"mene maculata","moonfish","mene","Demersal Fish","menidae","perciformes","import","Marine areas","Iron",0.00167
"miichthys miiuy","mi-iuy (brown) croaker","miichthys","Demersal Fish","sciaenidae","perciformes","import","Marine areas","Iron",2.18333333333333
"molva molva","ling","molva","Demersal Fish","lotidae","gadiformes","import","Marine areas","Iron",0.65
"monotaxis grandoculis","humpnose big-eye bream","monotaxis","Demersal Fish","lethrinidae","perciformes","import","Marine areas","Iron",0.66
"muraenesox cinereus","daggertooth pike conger","muraenesox","Demersal Fish","muraenesocidae","anguilliformes","import","Marine areas","Iron",0.868
"naso unicornis","bluespine unicornfish","naso","Demersal Fish","acanthuridae","perciformes","import","Marine areas","Iron",1
"nemipterus virgatus","golden threadfin bream","nemipterus","Demersal Fish","nemipteridae","perciformes","import","Marine areas","Iron",0.721
