mar_taxa_name,mar_match_key,afcd_match_species,afcd_match_genus,afcd_match_family,afcd_match_order,afcd_match_class,afcd_match_phylum,missing,tonnes
rajiformes,rajiformes,NA,NA,NA,rajiformes,NA,NA,0,3350800.329
gastropoda,gastropoda,NA,NA,NA,gastropoda,gastropoda,NA,0,3212661.128
trichiurus,trichiurus,NA,trichiurus,NA,NA,NA,NA,0,3209818.081
mercenaria mercenaria,mercenaria,NA,mercenaria,NA,NA,NA,NA,0,3202611.175
galeoides decadactylus,galeoides decadactylus,galeoides decadactylus,galeoides,NA,NA,NA,NA,0,3167345.344
molva molva,ulva,ulva,molva,NA,NA,NA,NA,0,3146817.149
thyrsites atun,thyrsites atun,thyrsites atun,thyrsites,NA,NA,NA,NA,0,3106935.238
mytilus galloprovincialis,mytilus galloprovincialis,mytilus galloprovincialis,mytilus,NA,NA,NA,NA,0,3084633.406
oncorhynchus kisutch,oncorhynchus kisutch,oncorhynchus kisutch,oncorhynchus,NA,NA,NA,NA,0,3079831.119
solea solea,solea,NA,solea,NA,NA,NA,NA,0,3043805.223
anarhichas,anarhichas,NA,anarhichas,NA,NA,NA,NA,0,2968359.448
gadiformes,gadiformes,NA,NA,NA,gadiformes,NA,NA,0,2912605.665
limanda ferruginea,limanda,NA,limanda,NA,NA,NA,NA,0,2911097.385
tetraodontidae,tetraodontidae,NA,NA,tetraodontidae,NA,NA,NA,0,2910168.475
squalus,squalus,NA,squalus,NA,NA,NA,NA,0,2898088.892
scomber colias,scomber colias,scomber colias,scomber,NA,NA,NA,NA,0,2877055.897
crassostrea gigas,crassostrea gigas,crassostrea gigas,crassostrea,NA,NA,NA,NA,0,2873571.67
umbrina canosai,umbrina canosai,umbrina canosai,umbrina,NA,NA,NA,NA,0,2858897.151
thunnus thynnus,thunnus thynnus,thunnus thynnus,thunnus,NA,NA,NA,NA,0,2851960.752
chloroscombrus chrysurus,chloroscombrus chrysurus,chloroscombrus chrysurus,chloroscombrus,NA,NA,NA,NA,0,2841552.339
boreogadus saida,boreogadus saida,boreogadus saida,boreogadus,NA,NA,NA,NA,0,2830160.478
lactarius lactarius,lactarius,NA,lactarius,NA,NA,NA,NA,0,2807061.099
hemiramphidae,hemiramphidae,NA,NA,hemiramphidae,NA,NA,NA,0,2775310.208
caesionidae,NA,NA,NA,NA,NA,NA,NA,1,2767778.777
salmonidae,salmonidae,NA,NA,salmonidae,NA,NA,NA,0,2734305.123
siganidae,siganidae,NA,NA,siganidae,NA,NA,NA,0,2715178.513
sebastidae,sebastidae,NA,NA,sebastidae,NA,NA,NA,0,2708626.539
thunnus tonggol,thunus tonggol,thunus tonggol,thunnus,NA,NA,NA,NA,0,2705593.016
tegillarca granosa,tegillarca granosa,tegillarca granosa,tegillarca,NA,NA,NA,NA,0,2695560.519
muraenesocidae,muraenesocidae,NA,NA,muraenesocidae,NA,NA,NA,0,2682713.05
sebastes mentella,sebastes mentella,sebastes mentella,sebastes,NA,NA,NA,NA,0,2681752.516
diplodus,diplodus,NA,diplodus,NA,NA,NA,NA,0,2669056.361
doryteuthis gahi,moroteuthis,NA,moroteuthis,NA,NA,NA,NA,0,2643977.268
